COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Cindy Cash,David K. Setzer,Eusebio (Joe) Trujillo III,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,212,PCT 212,5564,2799,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,213,PCT 213,3612,1848,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,214,PCT 214,4427,2716,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,215,PCT 215,2543,1056,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,216,PCT 216,6210,3332,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,217,PCT 217,2919,1550,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,218,PCT 218,4110,2281,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,219,PCT 219,4072,2234,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,220,PCT 220,4641,2219,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,221,PCT 221,5138,2874,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,222,PCT 222,3575,1933,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,223,PCT 223,2154,1196,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,224,PCT 224,3036,1808,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,225,PCT 225,3815,1819,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,226,PCT 226,4365,2250,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,227,PCT 227,4310,2285,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,228,PCT 228,5265,2155,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,229,PCT 229,1738,866,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,230,PCT 230,4826,2039,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,231,PCT 231,3247,1754,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,232,PCT 232,3600,1991,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,233,PCT 233,1922,968,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,234,PCT 234,2546,1484,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,235,PCT 235,1874,966,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,236,PCT 236,2889,1678,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,237,PCT 237,2253,1011,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
