COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Jonathan Cocks,LIB Edward Kless,REP Angela Paxton,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,262,PCT 262,2934,1541,0,848,37,608,0,49,DEM Jonathan Cocks,DEM
COLL,263,PCT 263,1519,853,0,247,17,570,0,19,REP Angela Paxton,REP
COLL,264,PCT 264,3907,2067,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,265,PCT 265,0,0,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,266,PCT 266,62,34,0,18,1,13,0,1,DEM Jonathan Cocks,DEM
COLL,267,PCT 267,18,9,0,5,0,4,0,0,DEM Jonathan Cocks,DEM
COLL,268,PCT 268,0,0,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,269,PCT 269,0,0,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,270,PCT 270,1,1,0,0,0,1,0,0,REP Angela Paxton,REP
COLL,271,PCT 271,1017,526,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,272,PCT 272,1,1,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,273,PCT 273,176,109,0,28,2,78,0,2,REP Angela Paxton,REP
