COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Debby Gowen,Eusebio (Joe) Trujillo III,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,264,PCT 264,3994,2746,0,0,0,0,0,pct_int,pct_int,24
COLL,265,PCT 265,0,0,0,0,0,0,0,Debby Gowen,Debby,0
COLL,266,PCT 266,62,42,0,0,0,0,0,pct_int,pct_int,1
COLL,267,PCT 267,19,13,0,0,0,0,0,Debby Gowen,Debby,0
COLL,268,PCT 268,0,0,0,0,0,0,0,Debby Gowen,Debby,0
COLL,269,PCT 269,0,0,0,0,0,0,0,Debby Gowen,Debby,0
COLL,270,PCT 270,2,1,0,0,0,0,0,Debby Gowen,Debby,0
COLL,271,PCT 271,1035,750,0,0,0,0,0,pct_int,pct_int,179
COLL,272,PCT 272,1,1,0,0,0,0,0,Debby Gowen,Debby,0
COLL,273,PCT 273,260,202,0,0,0,0,0,pct_int,pct_int,1
