COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Ben Smith,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,162,PCT 162,687,558,0,403,0,155,Rep Ben Smith,Rep
COLL,163,PCT 163,2188,1474,0,923,0,551,Rep Ben Smith,Rep
COLL,164,PCT 164,2330,1845,80,1041,0,804,Rep Ben Smith,Rep
COLL,165,PCT 165,972,736,0,498,0,238,Rep Ben Smith,Rep
COLL,166,PCT 166,4384,3051,0,1753,0,1298,Rep Ben Smith,Rep
COLL,167,PCT 167,2192,1501,0,762,0,740,Rep Ben Smith,Rep
COLL,168,PCT 168,1966,1418,0,999,0,419,Rep Ben Smith,Rep
COLL,169,PCT 169,3534,2485,2,1385,0,1100,Rep Ben Smith,Rep
COLL,170,PCT 170,1921,1364,0,883,0,481,Rep Ben Smith,Rep
COLL,171,PCT 171,2980,1965,0,1082,0,883,Rep Ben Smith,Rep
COLL,172,PCT 172,2941,2202,0,1555,0,647,Rep Ben Smith,Rep
COLL,173,PCT 173,645,492,0,338,0,154,Rep Ben Smith,Rep
COLL,174,PCT 174,4648,2951,2,1834,0,1117,Rep Ben Smith,Rep
COLL,175,PCT 175,2083,1492,1,958,0,534,Rep Ben Smith,Rep
COLL,176,PCT 176,4064,2194,0,1120,0,1074,Rep Ben Smith,Rep
COLL,177,PCT 177,3532,2228,0,1451,0,777,Rep Ben Smith,Rep
COLL,178,PCT 178,3375,2404,1,1755,0,649,Rep Ben Smith,Rep
COLL,179,PCT 179,4704,3766,0,2703,0,1063,Rep Ben Smith,Rep
COLL,180,PCT 180,3492,2359,1,1404,0,955,Rep Ben Smith,Rep
COLL,181,PCT 181,3166,2049,0,1361,0,688,Rep Ben Smith,Rep
COLL,182,PCT 182,4037,2765,1,1576,0,1189,Rep Ben Smith,Rep
