COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,Dem Kamala D. Harris/Tim Walz,Grn Jill Stein/Rudolph Ware,Lib Chase Oliver/Mike ter Maat,Rep Donald J. Trump/JD Vance,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,149,PCT 149,4656,3337,0,12,1316,48,28,1918,0,15,Rep Donald J. Trump/JD Vance,Rep,354
COLL,150,PCT 150,2024,1621,0,12,618,9,10,968,0,5,Rep Donald J. Trump/JD Vance,Rep,62
COLL,151,PCT 151,1856,1296,0,8,626,45,5,604,0,8,Dem Kamala D. Harris/Tim Walz,Dem,151
COLL,152,PCT 152,231,119,0,1,81,2,0,35,0,0,pct_int,pct_int,152
COLL,153,PCT 153,1225,860,0,4,349,39,5,459,0,3,Rep Donald J. Trump/JD Vance,Rep,35
COLL,154,PCT 154,2771,2102,0,7,456,15,8,1610,0,6,Rep Donald J. Trump/JD Vance,Rep,154
COLL,155,PCT 155,3016,2129,1,8,866,17,14,1213,0,11,Rep Donald J. Trump/JD Vance,Rep,155
COLL,156,PCT 156,3797,2569,0,18,1141,39,13,1350,0,8,Rep Donald J. Trump/JD Vance,Rep,156
COLL,157,PCT 157,4358,3111,1,12,1525,68,16,1474,0,16,Dem Kamala D. Harris/Tim Walz,Dem,157
COLL,158,PCT 158,2851,1955,0,11,968,108,13,846,0,9,Dem Kamala D. Harris/Tim Walz,Dem,158
COLL,159,PCT 159,3385,2049,1,7,933,78,18,1003,0,10,Rep Donald J. Trump/JD Vance,Rep,159
COLL,160,PCT 160,530,430,0,1,79,3,1,343,0,3,Rep Donald J. Trump/JD Vance,Rep,160
COLL,161,PCT 161,298,192,0,0,56,0,1,133,0,2,pct_int,pct_int,161
COLL,162,PCT 162,687,558,0,0,159,4,6,387,0,2,Rep Donald J. Trump/JD Vance,Rep,162
COLL,163,PCT 163,2188,1474,0,9,597,44,8,813,0,3,Rep Donald J. Trump/JD Vance,Rep,163
COLL,164,PCT 164,2330,1845,80,18,848,22,8,934,0,15,Rep Donald J. Trump/JD Vance,Rep,164
COLL,165,PCT 165,972,736,0,6,227,41,10,450,0,2,Rep Donald J. Trump/JD Vance,Rep,165
COLL,166,PCT 166,4384,3051,0,18,1235,239,25,1519,0,15,Rep Donald J. Trump/JD Vance,Rep,166
COLL,167,PCT 167,2192,1501,0,8,799,36,11,635,0,11,Dem Kamala D. Harris/Tim Walz,Dem,70
COLL,168,PCT 168,1966,1418,0,13,454,15,9,916,0,11,Rep Donald J. Trump/JD Vance,Rep,168
COLL,169,PCT 169,3534,2485,2,7,1191,41,15,1220,0,11,Rep Donald J. Trump/JD Vance,Rep,169
COLL,170,PCT 170,1921,1364,0,8,500,11,13,824,0,8,Rep Donald J. Trump/JD Vance,Rep,170
COLL,171,PCT 171,2980,1965,0,7,919,59,8,961,0,11,Rep Donald J. Trump/JD Vance,Rep,171
COLL,172,PCT 172,2941,2202,0,3,703,9,19,1466,0,2,Rep Donald J. Trump/JD Vance,Rep,172
COLL,173,PCT 173,645,492,0,2,170,0,6,311,0,3,Rep Donald J. Trump/JD Vance,Rep,173
COLL,174,PCT 174,4648,2951,2,14,1191,56,11,1671,0,8,Rep Donald J. Trump/JD Vance,Rep,174
COLL,175,PCT 175,2083,1492,1,3,541,52,17,871,0,8,Rep Donald J. Trump/JD Vance,Rep,175
COLL,176,PCT 176,4064,2194,0,8,1167,18,21,972,0,8,Dem Kamala D. Harris/Tim Walz,Dem,176
COLL,177,PCT 177,3532,2228,0,10,882,15,5,1309,0,7,Rep Donald J. Trump/JD Vance,Rep,177
COLL,178,PCT 178,3375,2404,1,15,656,31,10,1676,0,16,Rep Donald J. Trump/JD Vance,Rep,178
COLL,179,PCT 179,4704,3766,0,24,1144,27,16,2525,0,30,Rep Donald J. Trump/JD Vance,Rep,179
COLL,180,PCT 180,3492,2359,1,8,1020,60,11,1250,0,10,Rep Donald J. Trump/JD Vance,Rep,180
COLL,181,PCT 181,3166,2049,0,7,736,7,23,1271,0,5,Rep Donald J. Trump/JD Vance,Rep,181
COLL,182,PCT 182,4037,2765,1,19,1289,54,20,1364,0,19,Rep Donald J. Trump/JD Vance,Rep,182
COLL,183,PCT 183,171,120,0,0,30,0,1,89,0,0,pct_int,pct_int,368
COLL,184,PCT 184,3360,1910,0,10,963,15,16,902,0,4,Dem Kamala D. Harris/Tim Walz,Dem,184
COLL,185,PCT 185,3352,2450,1,13,831,22,17,1555,0,11,Rep Donald J. Trump/JD Vance,Rep,9
COLL,186,PCT 186,764,536,0,0,64,1,4,466,0,1,Rep Donald J. Trump/JD Vance,Rep,373
COLL,187,PCT 187,1044,697,0,2,258,3,4,426,0,3,Rep Donald J. Trump/JD Vance,Rep,3
COLL,188,PCT 188,731,488,0,2,181,2,3,298,0,2,Rep Donald J. Trump/JD Vance,Rep,2
COLL,189,PCT 189,1473,1016,0,5,202,2,5,797,0,4,Rep Donald J. Trump/JD Vance,Rep,379
COLL,190,PCT 190,1038,802,0,3,202,5,4,584,0,4,Rep Donald J. Trump/JD Vance,Rep,46
COLL,191,PCT 191,967,582,1,2,207,10,3,357,0,3,Rep Donald J. Trump/JD Vance,Rep,191
COLL,192,PCT 192,4114,2896,0,5,705,11,14,2155,0,6,Rep Donald J. Trump/JD Vance,Rep,162
COLL,193,PCT 193,1341,896,0,2,201,3,6,684,0,0,Rep Donald J. Trump/JD Vance,Rep,387
COLL,194,PCT 194,3375,2400,0,4,784,25,14,1565,0,6,Rep Donald J. Trump/JD Vance,Rep,16
COLL,195,PCT 195,935,674,0,1,173,6,6,484,0,4,Rep Donald J. Trump/JD Vance,Rep,195
COLL,196,PCT 196,2001,1352,0,10,563,40,16,718,0,5,Rep Donald J. Trump/JD Vance,Rep,196
COLL,197,PCT 197,1270,858,0,3,462,24,8,357,0,4,Dem Kamala D. Harris/Tim Walz,Dem,197
COLL,198,PCT 198,2904,2327,0,17,887,13,14,1389,0,6,Rep Donald J. Trump/JD Vance,Rep,88
COLL,199,PCT 199,4135,3196,0,18,946,26,22,2177,0,7,Rep Donald J. Trump/JD Vance,Rep,199
COLL,200,PCT 200,2726,1894,0,7,597,18,19,1250,0,3,Rep Donald J. Trump/JD Vance,Rep,200
COLL,201,PCT 201,0,0,0,0,0,0,0,0,0,0,pct_int,pct_int,201
COLL,202,PCT 202,2,2,0,0,2,0,0,0,0,0,pct_int,pct_int,202
COLL,203,PCT 203,3182,2344,0,13,866,11,15,1426,0,13,Rep Donald J. Trump/JD Vance,Rep,203
COLL,204,PCT 204,354,282,0,0,116,0,1,163,0,2,pct_int,pct_int,204
COLL,205,PCT 205,4103,2879,2,14,1171,131,16,1536,0,12,Rep Donald J. Trump/JD Vance,Rep,118
COLL,206,PCT 206,2002,1431,0,13,511,30,12,860,0,5,Rep Donald J. Trump/JD Vance,Rep,206
COLL,207,PCT 207,4081,2925,1,7,1125,35,20,1725,0,13,Rep Donald J. Trump/JD Vance,Rep,207
COLL,208,PCT 208,4359,3323,0,10,1219,44,19,2020,0,11,Rep Donald J. Trump/JD Vance,Rep,208
COLL,209,PCT 209,172,125,0,0,47,3,0,74,0,0,Rep Donald J. Trump/JD Vance,Rep,30
COLL,210,PCT 210,1746,1290,0,5,553,173,5,550,0,4,Dem Kamala D. Harris/Tim Walz,Dem,210
COLL,211,PCT 211,3433,2455,0,11,1041,26,20,1344,0,13,Rep Donald J. Trump/JD Vance,Rep,211
COLL,212,PCT 212,2600,1945,0,10,879,61,17,969,0,9,Rep Donald J. Trump/JD Vance,Rep,212
COLL,213,PCT 213,3697,2611,0,7,1242,32,16,1308,0,6,Rep Donald J. Trump/JD Vance,Rep,213
COLL,214,PCT 214,3776,2920,0,11,735,20,15,2125,0,14,Rep Donald J. Trump/JD Vance,Rep,168
COLL,215,PCT 215,3503,2092,1,5,761,14,15,1290,0,7,Rep Donald J. Trump/JD Vance,Rep,215
COLL,216,PCT 216,4771,3565,0,13,1093,24,25,2399,0,11,Rep Donald J. Trump/JD Vance,Rep,216
COLL,217,PCT 217,3140,2190,1,7,864,29,20,1262,0,8,Rep Donald J. Trump/JD Vance,Rep,217
COLL,218,PCT 218,4297,3093,1,15,1426,131,21,1484,0,16,Rep Donald J. Trump/JD Vance,Rep,218
COLL,219,PCT 219,4559,3137,1,18,1488,108,16,1494,0,13,Rep Donald J. Trump/JD Vance,Rep,219
COLL,220,PCT 220,2465,1745,0,6,818,71,11,835,0,5,Rep Donald J. Trump/JD Vance,Rep,97
COLL,221,PCT 221,2053,1470,0,9,558,8,6,881,0,8,Rep Donald J. Trump/JD Vance,Rep,86
