COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Simon Cardell,Rep Pat Fallon,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,231,PCT 231,3938,2850,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,232,PCT 232,3850,2755,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,233,PCT 233,2089,1443,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,234,PCT 234,3351,2585,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,235,PCT 235,1916,1332,3,638,620,0,74,Dem Simon Cardell,Dem
COLL,236,PCT 236,3015,2217,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,237,PCT 237,2345,1522,3,0,0,0,0,Dem Simon Cardell,Dem
COLL,238,PCT 238,4043,2583,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,239,PCT 239,4293,3051,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,240,PCT 240,4358,3212,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,241,PCT 241,1549,1115,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,242,PCT 242,3578,2604,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,243,PCT 243,1684,1272,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,244,PCT 244,3235,2337,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,245,PCT 245,2764,1651,0,693,861,0,97,Rep Pat Fallon,Rep
COLL,246,PCT 246,2859,2137,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,247,PCT 247,2436,1876,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,248,PCT 248,2328,1645,0,691,870,0,84,Rep Pat Fallon,Rep
COLL,249,PCT 249,4743,3053,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,250,PCT 250,3886,3025,0,1412,1438,0,175,Rep Pat Fallon,Rep
COLL,251,PCT 251,2568,1852,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,252,PCT 252,3149,2338,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,253,PCT 253,3111,2203,1,1018,1070,0,114,Rep Pat Fallon,Rep
COLL,254,PCT 254,1286,806,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,255,PCT 255,3292,2440,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,256,PCT 256,767,540,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,257,PCT 257,1342,890,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,258,PCT 258,3045,2073,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,259,PCT 259,3698,2420,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,260,PCT 260,438,319,0,60,246,0,13,Rep Pat Fallon,Rep
COLL,261,PCT 261,3221,2306,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,262,PCT 262,3038,2081,0,1067,902,0,112,Dem Simon Cardell,Dem
COLL,263,PCT 263,2055,1544,1,465,1021,0,58,Rep Pat Fallon,Rep
COLL,264,PCT 264,3994,2746,0,1047,1571,0,127,Rep Pat Fallon,Rep
COLL,265,PCT 265,0,0,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,266,PCT 266,62,42,0,22,18,0,2,Dem Simon Cardell,Dem
COLL,267,PCT 267,19,13,0,7,5,0,1,Dem Simon Cardell,Dem
COLL,268,PCT 268,0,0,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,269,PCT 269,0,0,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,270,PCT 270,2,1,0,0,1,0,0,Rep Pat Fallon,Rep
COLL,271,PCT 271,1035,750,0,272,445,0,33,Rep Pat Fallon,Rep
COLL,272,PCT 272,1,1,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,273,PCT 273,260,202,0,0,0,0,0,Dem Simon Cardell,Dem
