COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,Dem Colin Allred,Lib Ted Brown,Rep Ted Cruz,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,186,PCT 186,764,536,0,0,77,8,441,0,10,Rep Ted Cruz,Rep,373
COLL,187,PCT 187,1044,697,0,1,271,15,398,0,12,Rep Ted Cruz,Rep,3
COLL,188,PCT 188,731,488,0,1,190,10,279,0,9,Rep Ted Cruz,Rep,2
COLL,189,PCT 189,1473,1016,0,0,222,23,756,0,15,Rep Ted Cruz,Rep,379
COLL,190,PCT 190,1038,802,0,0,213,8,573,0,9,Rep Ted Cruz,Rep,46
COLL,191,PCT 191,967,582,1,0,223,16,332,0,11,Rep Ted Cruz,Rep,191
COLL,192,PCT 192,4114,2896,0,3,780,67,2014,0,32,Rep Ted Cruz,Rep,162
COLL,193,PCT 193,1341,896,0,2,211,23,643,0,17,Rep Ted Cruz,Rep,387
COLL,194,PCT 194,3375,2400,0,1,846,48,1466,0,38,Rep Ted Cruz,Rep,16
COLL,195,PCT 195,935,674,0,0,182,14,469,0,9,Rep Ted Cruz,Rep,195
COLL,196,PCT 196,2001,1352,0,2,610,33,684,0,23,Rep Ted Cruz,Rep,196
COLL,197,PCT 197,1270,858,0,0,479,25,343,0,11,Dem Colin Allred,Dem,197
COLL,198,PCT 198,2904,2327,0,2,925,45,1334,0,21,Rep Ted Cruz,Rep,88
COLL,199,PCT 199,4135,3196,0,4,1038,50,2065,0,39,Rep Ted Cruz,Rep,199
COLL,200,PCT 200,2726,1894,0,1,618,39,1205,0,31,Rep Ted Cruz,Rep,200
COLL,201,PCT 201,0,0,0,0,0,0,0,0,0,pct_int,pct_int,201
COLL,202,PCT 202,2,2,0,0,2,0,0,0,0,pct_int,pct_int,202
COLL,203,PCT 203,3182,2344,0,4,899,25,1386,0,30,Rep Ted Cruz,Rep,203
COLL,204,PCT 204,354,282,0,0,116,1,163,0,2,pct_int,pct_int,204
COLL,205,PCT 205,4103,2879,2,2,1325,97,1399,0,55,Rep Ted Cruz,Rep,118
COLL,206,PCT 206,2002,1431,0,2,551,39,816,0,23,Rep Ted Cruz,Rep,206
COLL,207,PCT 207,4081,2925,1,3,1166,78,1630,0,48,Rep Ted Cruz,Rep,207
COLL,208,PCT 208,4359,3323,0,1,1285,84,1907,0,46,Rep Ted Cruz,Rep,208
COLL,209,PCT 209,172,125,0,0,53,2,68,0,2,Rep Ted Cruz,Rep,30
COLL,210,PCT 210,1746,1290,0,0,692,51,512,0,35,Dem Colin Allred,Dem,210
COLL,211,PCT 211,3433,2455,0,0,1083,50,1267,0,55,Rep Ted Cruz,Rep,211
COLL,212,PCT 212,2600,1945,0,0,1009,42,855,0,39,Dem Colin Allred,Dem,212
COLL,213,PCT 213,3697,2611,0,2,1315,46,1202,0,46,Dem Colin Allred,Dem,213
COLL,214,PCT 214,3776,2920,0,0,775,30,2083,0,31,Rep Ted Cruz,Rep,168
COLL,215,PCT 215,3503,2092,1,1,815,40,1189,0,47,Rep Ted Cruz,Rep,215
COLL,216,PCT 216,4771,3565,0,3,1173,60,2276,1,52,Rep Ted Cruz,Rep,216
COLL,217,PCT 217,3140,2190,1,2,931,45,1177,0,35,Rep Ted Cruz,Rep,217
COLL,218,PCT 218,4297,3093,1,1,1536,96,1416,0,44,Dem Colin Allred,Dem,218
COLL,219,PCT 219,4559,3137,1,2,1628,53,1404,0,50,Dem Colin Allred,Dem,219
COLL,220,PCT 220,2465,1745,0,0,900,48,766,0,32,Dem Colin Allred,Dem,97
COLL,221,PCT 221,2053,1470,0,1,580,21,851,0,17,Rep Ted Cruz,Rep,86
COLL,222,PCT 222,3965,2870,1,4,1462,72,1277,0,55,Dem Colin Allred,Dem,222
COLL,223,PCT 223,2501,1839,0,4,926,35,843,0,31,Dem Colin Allred,Dem,223
COLL,224,PCT 224,3351,2568,1,1,721,31,1785,0,30,Rep Ted Cruz,Rep,224
COLL,225,PCT 225,3945,2807,2,0,1483,66,1197,0,61,Dem Colin Allred,Dem,225
COLL,226,PCT 226,4404,2945,0,2,1490,63,1353,0,37,Dem Colin Allred,Dem,226
COLL,227,PCT 227,4468,3160,0,4,1503,56,1543,0,54,Rep Ted Cruz,Rep,227
COLL,228,PCT 228,4845,3037,1,1,1479,87,1411,0,59,Dem Colin Allred,Dem,180
COLL,229,PCT 229,2259,1494,0,1,766,41,660,0,26,Dem Colin Allred,Dem,229
COLL,230,PCT 230,4953,3021,0,4,1600,71,1293,0,53,Dem Colin Allred,Dem,230
COLL,231,PCT 231,3938,2850,0,0,1301,70,1436,0,43,Rep Ted Cruz,Rep,231
COLL,232,PCT 232,3850,2755,0,3,1181,44,1477,0,50,Rep Ted Cruz,Rep,232
COLL,233,PCT 233,2089,1443,0,1,597,43,774,0,28,Rep Ted Cruz,Rep,233
COLL,234,PCT 234,3351,2585,0,1,1450,53,1042,0,39,Dem Colin Allred,Dem,234
COLL,235,PCT 235,1916,1332,3,2,722,31,556,0,21,Dem Colin Allred,Dem,235
