COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Gopal Ponangi,Jared Elad,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,211,PCT 211,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,212,PCT 212,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,213,PCT 213,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,214,PCT 214,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,215,PCT 215,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,216,PCT 216,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,217,PCT 217,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,218,PCT 218,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,219,PCT 219,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,220,PCT 220,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,221,PCT 221,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,222,PCT 222,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,223,PCT 223,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,224,PCT 224,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,225,PCT 225,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,226,PCT 226,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,227,PCT 227,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,228,PCT 228,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,229,PCT 229,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,230,PCT 230,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,231,PCT 231,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,232,PCT 232,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,233,PCT 233,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,234,PCT 234,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,235,PCT 235,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,236,PCT 236,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,237,PCT 237,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,238,PCT 238,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,239,PCT 239,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,240,PCT 240,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,241,PCT 241,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,242,PCT 242,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,243,PCT 243,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,244,PCT 244,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,245,PCT 245,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,246,PCT 246,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,247,PCT 247,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,248,PCT 248,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,249,PCT 249,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,250,PCT 250,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,251,PCT 251,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,252,PCT 252,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,253,PCT 253,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,254,PCT 254,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,255,PCT 255,1860,371,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,256,PCT 256,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,257,PCT 257,1628,40,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,258,PCT 258,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,259,PCT 259,240,74,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,260,PCT 260,139,12,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,261,PCT 261,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,262,PCT 262,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,263,PCT 263,1575,150,0,61,87,0,1,Jared Elad,Jared
COLLI,264,PCT 264,3825,1054,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,265,PCT 265,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,266,PCT 266,28,2,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,267,PCT 267,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,268,PCT 268,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,269,PCT 269,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,270,PCT 270,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,271,PCT 271,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,272,PCT 272,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,273,PCT 273,323,20,0,0,0,0,0,Gopal Ponangi,Gopal
