COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Darrel Evans,Rep Candy Noble,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,242,PCT 242,3578,2604,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,243,PCT 243,1684,1272,0,359,845,0,68,Rep Candy Noble,Rep
COLL,244,PCT 244,3235,2337,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,245,PCT 245,2764,1651,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,246,PCT 246,2859,2137,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,247,PCT 247,2436,1876,0,529,1255,0,92,Rep Candy Noble,Rep
COLL,248,PCT 248,2328,1645,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,249,PCT 249,4743,3053,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,250,PCT 250,3886,3025,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,251,PCT 251,2568,1852,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,252,PCT 252,3149,2338,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,253,PCT 253,3111,2203,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,254,PCT 254,1286,806,0,343,399,0,64,Rep Candy Noble,Rep
COLL,255,PCT 255,3292,2440,1,767,1547,0,126,Rep Candy Noble,Rep
COLL,256,PCT 256,767,540,0,121,385,0,34,Rep Candy Noble,Rep
COLL,257,PCT 257,1342,890,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,258,PCT 258,3045,2073,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,259,PCT 259,3698,2420,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,260,PCT 260,438,319,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,261,PCT 261,3221,2306,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,262,PCT 262,3038,2081,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,263,PCT 263,2055,1544,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,264,PCT 264,3994,2746,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,265,PCT 265,0,0,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,266,PCT 266,62,42,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,267,PCT 267,19,13,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,268,PCT 268,0,0,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,269,PCT 269,0,0,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,270,PCT 270,2,1,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,271,PCT 271,1035,750,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,272,PCT 272,1,1,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,273,PCT 273,260,202,0,0,0,0,0,Dem Darrel Evans,Dem
