COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Janet T. Dudding,LIB V. Alonzo Echevarria-Garza,REP Glenn Hegar,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,242,PCT 242,3356,1912,0,766,20,1090,0,36,REP Glenn Hegar,REP
COLL,243,PCT 243,1517,915,0,244,16,640,0,15,REP Glenn Hegar,REP
COLL,244,PCT 244,3107,1762,0,696,30,992,0,44,REP Glenn Hegar,REP
COLL,245,PCT 245,2774,1151,0,492,20,610,0,29,REP Glenn Hegar,REP
COLL,246,PCT 246,2832,1691,0,702,30,929,0,30,REP Glenn Hegar,REP
COLL,247,PCT 247,2148,1364,0,338,17,987,0,22,REP Glenn Hegar,REP
COLL,248,PCT 248,2116,1087,0,454,17,593,0,23,REP Glenn Hegar,REP
COLL,249,PCT LB 96,0,380,0,205,10,155,0,10,DEM Janet T. Dudding,DEM
COLL,250,PCT LB 97,0,188,0,111,2,72,0,3,DEM Janet T. Dudding,DEM
COLL,251,PCT LB 98,0,9,0,2,0,6,0,1,REP Glenn Hegar,REP
COLL,252,PCT LB 99,0,0,0,0,0,0,0,0,DEM Janet T. Dudding,DEM
COLL,253,PCT 253,2590,1238,0,623,17,571,0,27,DEM Janet T. Dudding,DEM
COLL,254,PCT 254,1104,452,0,209,13,221,0,10,REP Glenn Hegar,REP
COLL,255,PCT 255,2764,1623,0,487,32,1075,0,29,REP Glenn Hegar,REP
COLL,256,PCT 256,535,289,0,62,6,214,0,7,REP Glenn Hegar,REP
COLL,257,PCT 257,924,441,0,156,17,259,0,8,REP Glenn Hegar,REP
COLL,258,PCT 258,2989,1538,1,776,35,687,0,40,DEM Janet T. Dudding,DEM
COLL,259,PCT 259,3539,1743,0,701,39,965,0,39,REP Glenn Hegar,REP
COLL,260,PCT 260,386,211,0,36,4,169,0,3,REP Glenn Hegar,REP
COLL,261,PCT 261,3138,1755,0,529,34,1146,0,45,REP Glenn Hegar,REP
COLL,262,PCT 262,2934,1541,0,801,26,673,0,41,DEM Janet T. Dudding,DEM
COLL,263,PCT 263,1519,853,0,224,17,597,0,15,REP Glenn Hegar,REP
COLL,264,PCT 264,3907,2067,0,738,62,1223,0,44,REP Glenn Hegar,REP
COLL,265,PCT 265,0,0,0,0,0,0,0,0,DEM Janet T. Dudding,DEM
COLL,266,PCT 266,62,34,0,17,1,15,0,1,DEM Janet T. Dudding,DEM
COLL,267,PCT 267,18,9,0,5,0,4,0,0,DEM Janet T. Dudding,DEM
COLL,268,PCT 268,0,0,0,0,0,0,0,0,DEM Janet T. Dudding,DEM
COLL,269,PCT 269,0,0,0,0,0,0,0,0,DEM Janet T. Dudding,DEM
COLL,270,PCT 270,1,1,0,0,0,1,0,0,REP Glenn Hegar,REP
COLL,271,PCT 271,1017,526,0,190,13,321,0,2,REP Glenn Hegar,REP
COLL,272,PCT 272,1,1,0,0,0,0,0,0,DEM Janet T. Dudding,DEM
COLL,273,PCT 273,176,109,0,26,1,81,0,1,REP Glenn Hegar,REP
